Nombre,"Juego,","Premios,",Cantidad,de,"Jugadores,",Cantidad,de,Torneos
Dota 2,310896032.15,4549,1730
Fortnite,147185741.05,5969,1062
Counter-Strike: Global Offensive,145355862.21,15435,6512
League of Legends,98625835.84,8686,2765
Arena of Valor,70372427.25,1735,144
PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,62848233.37,3227,225
PLAYERUNKNOWNâ€™S BATTLEGROUNDS,52335550.06,3519,554
StarCraft II,38415457.54,2169,6736
Overwatch,34278670.88,3837,811
Rainbow Six Siege,32499402.67,2794,530
Hearthstone,29451811.42,2999,1054
Rocket League,26864810.87,3300,2784
Heroes of the Storm,18388734.99,1288,491
Apex Legends,16526782.12,2070,684
CrossFire,15811557.8,841,336
VALORANT,15500240.27,4527,869
Free Fire,14158921.91,1415,75
Counter-Strike,13559672.19,4225,1018
Call of Duty: Warzone,10869721.17,1225,377
Magic: The Gathering Arena,10088000.0,323,52
SMITE,9250112.75,542,97
League of Legends: Wild Rift,7863906.47,1310,92
Mobile Legends: Bang Bang,7816744.13,1322,82
World of WarCraft,7596337.61,478,168
Call of Duty: Modern Warfare,7500784.5,393,81
StarCraft: Brood War,7245436.45,622,499
Halo 5: Guardians,7160480.97,248,109
Call of Duty: Black Ops 4,6734938.95,389,82
Call of Duty: Vanguard,6321000.0,261,91
Call of Duty: Black Ops Cold War,6299000.0,274,89
WarCraft III,6194043.92,675,1467
Clash Royale,6143348.27,314,56
Overwatch 2,5516513.0,478,26
Shadowverse,5508473.29,248,44
Call of Duty: WWII,4578021.0,296,77
Clash of Clans,4471027.87,370,65
chess24,4179375.43,90,28
Call of Duty: Infinite Warfare,4166705.06,343,84
World of Tanks,3988496.59,418,54
Chess.com,3973064.33,831,369
Call of Duty: Black Ops III,3939783.29,424,78
Call of Duty: Mobile,3908274.0,241,12
Brawl Stars,3766376.06,276,45
Teamfight Tactics,3651670.96,515,55
Brawlhalla,3614257.83,845,642
Super Smash Bros. Melee,3542159.27,1930,2640
FIFA Online 4,3285714.48,361,56
CrossFire Mobile,3282417.5,0,12
Quake Champions,3281612.77,295,276
FIFA 19,3246142.34,303,49
Gears of War 4,3142785.0,155,152
Counter-Strike: Source,3113222.29,1502,333
Heroes of Newerth,3088252.72,820,396
iRacing.com,3063860.83,1263,179
Halo Infinite,2948155.0,200,33
Naraka: Bladepoint,2908130.52,138,12
Age of Empires II,2900247.04,1822,1406
Call of Duty: Advanced Warfare,2611808.93,783,405
FIFA 20,2606667.1,322,63
Paladins,2490507.6,586,79
Tekken 7,2398235.35,580,383
Gears 5,2320920.0,163,112
Halo 3,2318079.4,214,43
Street Fighter V,2266798.43,279,130
Street Fighter V: Arcade Edition,2263945.95,235,104
Super Smash Bros. Ultimate,2249938.81,2318,1652
FIFA 21,2245134.53,234,26
FIFA 18,2233697.69,235,48
H1Z1,2067122.0,119,13
rFactor 2,1947383.12,494,96
FIFA Online 3,1937542.85,124,25
StarCraft: Remastered,1832959.79,269,238
Point Blank,1733770.01,551,104
Halo 2,1626762.47,126,74
Call of Duty: Ghosts,1594185.25,199,76
Super Smash Bros. for Wii U,1515451.47,1281,1035
FIFA 17,1482612.63,156,48
Call of Duty: Black Ops 2,1479139.25,187,54
WarCraft III: Reforged,1446305.02,139,335
Gwent,1390997.17,343,120
FIFA 22,1388411.5,160,10
Minecraft,1345727.15,457,67
Lichess,1278327.78,343,154
Magic: The Gathering Online,1218000.0,130,10
Identity V,1189526.81,30,4
Auto Chess,1163720.28,133,52
Call of Duty: Modern Warfare 3,1160815.66,209,45
Quake III Arena,1149561.21,284,108
Painkiller,1015000.0,48,13
Madden NFL 2017,1004000.0,42,5
Madden NFL 22,1000000.0,14,1
NBA 2K18,1000000.0,91,4
Turbo Racing League,1000000.0,16,9
Madden NFL 20,923000.0,38,2
Vainglory,906421.19,256,36
Street Fighter V: Champion Edition,891040.67,263,148
Defense of the Ancients,857420.65,468,94
Injustice 2,837447.16,81,38
Forza Motorsport 7,820200.0,123,12
Ultra Street Fighter IV,818394.62,242,233
Honor of Kings International Championship 2022,0.0,0,0
PUBG Mobile Global Championship 2022,0.0,0,0
Demacia Cup 2022,0.0,0,0
Overwatch Contenders 2022 - Pacific Showdown,0.0,0,0
Women of the eRena featuring Fortnite,0.0,0,0
Speed Chess Championship 2022,0.0,0,0
Tianming Cup Season 10,0.0,0,0
CCT Central Europe Series #4,0.0,0,0
ESL Challenger League Season 43: EU,0.0,0,0
ESL Challenger League Season 43: NA,0.0,0,0
PMSC - 2022 Arabia,0.0,0,0
BetBoom Xmas Show,0.0,0,0
Penta Pro Series,0.0,0,0
Demacia Cup 2022,0.0,0,0
eXTREMESLAND Festival 2022,0.0,0,0
EPL World Series: America Season 2,0.0,0,0
BiliBili - Apex Legends Stellar Cup - Season #5,0.0,0,0
BOSS Training Camp,0.0,0,0
Skyesports Championship 4.0,0.0,0,0
Anakin Invitational 2022,0.0,0,0
